year,VAX_GROUP,adverse_event_reports,# of vaccines administered (estimates),AE_per_million
2020,COVID19,10883,4500000,2418.4444444444443
2020,HPV,1918,11000000,174.36363636363637
2020,Influenza,12269,194000000,63.24226804123712
2020,Pneumococcal,1761,8000000,220.125
2020,Shingles,14806,12000000,1233.8333333333333
2021,COVID19,757745,515000000,1471.3495145631068
2021,HPV,2010,13000000,154.6153846153846
2021,Influenza,9214,175000000,52.65142857142857
2021,Pneumococcal,1136,9500000,119.57894736842105
2021,Shingles,16303,14000000,1164.5
2022,COVID19,221575,145000000,1528.103448275862
2022,HPV,1750,14500000,120.6896551724138
2022,Influenza,10811,175000000,61.77714285714285
2022,Pneumococcal,1039,10500000,98.95238095238095
2022,Shingles,11335,16000000,708.4375
2026,COVID19,2251,2000000,1125.5
2026,HPV,613,13000000,47.15384615384615
2026,Influenza,1244,175000000,7.1085714285714285
2026,Pneumococcal,31,9000000,3.444444444444444
2026,Shingles,2837,15000000,189.13333333333335
